"Species","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover","Random: site","Random: year"
"Hemigymnus.fasciatus",0.42,0.05,0,0,0,0,0,0.06,0.25,0.09,0.01,0.03,0.01,0.01,0.01,0.03,0.02
"Heniochus.chrysostomus",0.22,0.11,0,0.01,0,0,0,0.2,0.06,0.02,0.18,0.09,0.01,0.03,0.01,0.01,0.04
"Hologymnosus.annulatus",0.28,0.03,0.02,0.01,0,0,0.01,0.08,0.18,0.05,0.02,0.03,0.02,0.02,0.03,0.17,0.04
"Labroides.bicolor",0.04,0.03,0.01,0,0,0,0,0.28,0.25,0.25,0.02,0.06,0.01,0,0,0.04,0.01
"Labroides.dimidiatus",0.29,0.4,0.01,0,0,0,0,0.04,0.04,0.03,0.04,0.02,0.01,0.02,0.01,0.03,0.05
"Lepidozygus.tapeinosoma",0.1,0.04,0.01,0,0,0,0,0.06,0.62,0.03,0.01,0.05,0.02,0.01,0.01,0.01,0.03
"Lethrinus.olivaceus",0.09,0.04,0.03,0.01,0,0,0,0.24,0.06,0.08,0.06,0.04,0.07,0.06,0.05,0.03,0.12
"Lutjanus.fulvus",0.38,0.3,0,0,0,0,0,0.1,0.13,0.01,0.02,0.01,0,0,0.01,0,0.01
"Macropharyngodon.meleagris",0.52,0.05,0,0,0,0,0,0.2,0.05,0.03,0.04,0.03,0.01,0.01,0.01,0.02,0.01
"Melichthys.niger",0.49,0.08,0.01,0,0,0,0,0.07,0.16,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.02
"Melichthys.vidua",0.08,0.18,0,0,0,0,0,0.03,0.57,0.01,0.03,0.02,0.01,0.01,0.01,0.04,0
"Monotaxis.grandoculis",0.12,0.06,0,0,0,0,0,0.21,0.11,0.08,0.18,0.13,0.01,0.03,0.01,0.01,0.04
"Mulloidichthys.flavolineatus",0.37,0.07,0.01,0,0,0,0,0.03,0.36,0.01,0.06,0.06,0.01,0.02,0,0,0.01
"Mulloidichthys.vanicolensis",0.29,0.21,0.01,0,0,0,0,0.04,0.29,0.01,0.06,0.08,0,0.01,0,0,0.01
"Myripristis.amaena",0.33,0.13,0,0,0,0,0,0.05,0.07,0.06,0.14,0.16,0.02,0,0.01,0.01,0.02
"Myripristis.berndti",0.38,0.01,0,0,0,0,0,0.09,0.18,0.05,0.13,0.08,0.02,0,0.01,0.01,0.02
"Myripristis.kuntee",0.11,0.16,0,0,0,0,0,0.04,0.21,0.1,0.18,0.08,0.06,0,0.02,0.02,0.01
"Myripristis.violacea",0.13,0.34,0,0,0,0,0,0.03,0.08,0.02,0.26,0.03,0.02,0,0.02,0.04,0.01
